# NIKKE 第28章 转录
视频ID: GO6Tai5YPag
URL: https://youtu.be/GO6Tai5YPag
语言: ja
来源: youtube-transcript-api+yt-dlp

[00:00:00] [音楽]
[00:00:07] うわあなん
[00:00:10] とこれはまるでクリスタル畑ですな
[00:00:17] わあ危険なことさえ気にしなければ見た目
[00:00:21] はとても素敵です
[00:00:23] ねその通りっすきれいっすうん
[00:00:30] 見ただけですがこれだと地図は役に立た
[00:00:34] なさそうですねクリスタルが生えている
[00:00:37] せいで地図と様子が全然違い
[00:00:40] ますそういう時のためにリバリンがいるん
[00:00:43] じゃないんすか
[00:00:45] はあまあそうなんですけどね私暗記は得意
[00:00:52] なんです
[00:00:53] が新しい道を見つけるのは自信がなくてう
[00:01:00] そうだったんですかななんて嘘です本当は
[00:01:05] 大得意ですよこれでもパスファインダー
[00:01:09] 部隊のリーダーです
[00:01:12] からそう来なくちゃですぞそれにしても
[00:01:17] どうしてここはこんなにクリスタルが生え
[00:01:20] 放題なんでしょう中規模の年だったそう
[00:01:23] ですからクリスタルの用になるエネルギー
[00:01:26] はたくさんあったはずです
[00:01:28] なそれにあそこを見て
[00:01:38] くだされこれほど大きな都の高原の
[00:01:41] ほとんどをあれ1つに頼っていたようです
[00:01:44] な近づいたらかなり暑そうです
[00:01:49] なすなわち
[00:01:51] 莫大なエネルギー源ということです
[00:01:54] ぞきっとあそこにクリスタルの根源がある
[00:01:58] に違いありませんな
[00:02:01] もしくはそれと同じぐらい重要な何かです
[00:02:05] か
[00:02:05] なとりあえずあれを目指すということで
[00:02:09] どなたか異論はありませんかな
[00:02:12] わあやる気満々ですね最初からそうでした
[00:02:17] ぞそれにあんなものが見えてしまっている
[00:02:21] わけですから
[00:02:22] なそれでやる気が出ないなら知識欲への
[00:02:26] 冒涜ですぞそうですか
[00:02:30] オペレーターCマップのマーキングをお
[00:02:33] 願いしますぞ進むべき道が分からなくとも
[00:02:37] 通った道は記録しないといけませんからな
[00:02:40] はいすでに準備は完了していますそれにし
[00:02:45] てもそちらはエブラ粒子の濃度が極めて
[00:02:48] 低いようですねここまで綺麗というか良好
[00:02:53] な通信状態は初めてですそれもいずれ調査
[00:02:57] ですな
[00:03:00] とクリスタルに何か関係があるのかもしれ
[00:03:03] ませんぞはい了解しましたでどこに行けば
[00:03:08] いいすかまずは直進してくださいこの様子
[00:03:13] だといずれ別れ道に出るはずですそこで
[00:03:17] もう一度案内します了解すじゃあ私が戦闘
[00:03:23] に立つせ
[00:03:27] [音楽]
[00:03:32] お本当に別れ道
[00:03:35] っすでしょ見れば分かるんですよじゃあ次
[00:03:41] はどっちっすかここが中規模の都心部で車
[00:03:46] の交通量も多かったと仮定して信号の位置
[00:03:50] と道路の形を考える
[00:03:53] と左に進むのが正解です
[00:04:00] 根拠があるんですかなさらっと出てくるの
[00:04:03] が不思議ですぞ
[00:04:06] えっと道路構築と都市設計の基礎から説明
[00:04:10] が必要になります
[00:04:12] ね2時間ほどかかってしまいますが大丈夫
[00:04:16] です
[00:04:18] か今は結構また今度ですなはい今度資料も
[00:04:25] 揃えてお教えしますねレグ様ならすぐに
[00:04:29] 理解できると思いますじゃ左に進むっす
[00:04:34] はい行きましょうレッツゴーですぞ待って
[00:04:41] んみんな落ち着いて新しい場所で新しい
[00:04:46] ものが見つかって浮かれるのは分かるわで
[00:04:50] もだからと言ってリスクを忘れないで何の
