================================================================================
NIKKE Red Ash (Part 2) - Complete Japanese Transcript
Video ID: 6AwG4cfTbk4
Duration: 1:12:14 (4334 seconds)
================================================================================

[00:00:20] 大量のラプチャー部隊がアークの入り口に
[00:00:24] 進撃中という情報です現在の速度なら3日
[00:00:25] 後には入口に到達されます迎撃する必要が
[00:00:28] 後には入口に到達されます迎撃する必要が
[00:00:33] あるな幼注意大将はありません旧型モデル
[00:00:37] のみの編成です大型ラプチャーも2期しか
[00:00:38] いません
[00:00:42] よしでは早く行って終わらせよう出発の
[00:00:43] 予定は1時間後だ全員準備してくれ随分な
[00:00:48] 予定は1時間後だ全員準備してくれ随分な
[00:00:52] 強行軍だ昨日大きな戦いがあったばかりで
[00:00:57] はないか正確にはこの2週間1日も休まず
[00:01:01] 戦っています仕方あるま
[00:01:05] 人類が敗北を認識しアークへの移住を決定
[00:01:09] したのが2ヶ月前秘密りに準備していた
[00:01:12] はずがなぜかラプチャーたちに見つかって
[00:01:16] しまったこの2ヶ月間でアークの入口が何
[00:01:19] 度狙われたと思う公的な記録にあるもの
[00:01:27] だけでなんと212回だ221回です
[00:01:30] よとにかく
[00:01:33] はアークの入り口を塞ごうと必死だだから
[00:01:37] こそ人類の全戦力はアークへの入り口を
[00:01:41] 中心に投入されている絶対に崩されては
[00:01:43] ならないん
[00:01:47] だ無理をさせていることは分かっているだ
[00:01:51] が私たちが動かなければ人類はここで
[00:01:54] 終わってしまうかもしれない他の部隊も
[00:01:58] 全力で戦っているだが力不足
[00:02:04] だたが動くしかないんだ勝利の女神ゴ部隊
[00:02:10] が分かった私が神経室すぎたようだね準備
[00:02:20] ラプンツェルああドシどうしました準備し
[00:02:25] ラプンツェルああドシどうしました準備し
[00:02:30] てください出撃ですまたですか
[00:02:35] はいわかりました支度します研究は進んで
[00:02:40] いますかそれなりですねおよその原理は
[00:02:44] 突き止めました新色は私たちの頭にある
[00:02:48] ナノマシンを汚染しラプチャーの思考回路
[00:02:52] に変換してしまうものです催眠闇落とも
[00:02:58] 言えますねはいあ知りませんでしたか
[00:03:00] つまり
[00:03:05] それはまた今度にしますそれで対処法は
[00:03:09] あるのですか理論上は状態が悪化する前に
[00:03:12] 東部のナノマシンだけを取り除けば良いの
[00:03:17] がそれが難しいのです今のところ人類連合
[00:03:23] 軍いえ中央政府及びvtcが推奨している
[00:03:28] 新色への対処方法はただ1つ脳の破壊だけ
[00:03:31] ですコールドスリープで一時しのぎもでき
[00:03:35] ますが根本的な解決にはなりませんレッド
[00:03:39] フードが生きていれば参考になったと思う
[00:03:43] のですがレッドフードのように浸食された
