# NIKKE 第23章 转录
视频ID: XorqH_pRkuA
URL: https://youtu.be/XorqH_pRkuA
语言: ja

[00:00:00] [音楽]
[00:00:07] [音楽]
[00:00:12] ドシなんであの子が急に出てくるの初めて
[00:00:16] 見るニですよどなたかご存知なんですか
[00:00:21] あの方はピルグリムですえあアークに
[00:00:27] ラプチャーにヘレティックにルグまで来る
[00:00:31] なんて私たちは大丈夫なんでしょうかうん
[00:00:36] そうですね地上での記録を見る限り
[00:00:41] ピルグリムの皆さんは好意的ではありませ
[00:00:44] んが敵対的でもないようですからアークに
[00:00:48] 害を及ぼすために来たわけじゃないと思い
[00:00:51] ますよヘレティックも攻撃してました
[00:00:56] し君どうしますか
[00:01:04] では私はここで待っています問題が発生し
[00:01:09] たらすぐにご連絡ください
[00:01:13] [音楽]
[00:01:38] こんにちは皆
[00:01:40] さんよくお会いしますね
[00:01:47] ドロシー招待されたん
[00:01:56] ですこの方死んだのでしょうかひとまずは
[00:02:03] そうですね首が完全に貫通してい
[00:02:07] ます普通であれば死んでいるはずです
[00:02:12] しかしヘレティックです
[00:02:14] からもうすぐ自己修復するでしょうねそれ
[00:02:20] でこれをどうしろっていうの意図したこと
[00:02:24] ではありませんでしたがパークへの
[00:02:28] プレゼントとしておきましょう
[00:02:30] 開けようが何をしようがどうぞご勝手に
[00:02:36] やりすぎのような気もしますがアークとの
[00:02:41] 初めての出会いですから長い断絶の溝を
[00:02:45] 埋めるには持ってこいでしょう爆弾とか
[00:02:49] 埋めてないでしょう
[00:02:52] ねそんなことをする理由はありませんよ
[00:02:57] 爆弾なんかより
[00:03:00] を持っているの
[00:03:03] でパピオンはどうなったのエデンはこの
[00:03:07] ことを突然の登場に驚くのは分かりますが
[00:03:12] そう質問攻めにしないでくださいまるで
[00:03:16] 怯えているように見えます
[00:03:19] よヘレティックを1度の狙撃でやっつけた
[00:03:23] んだから怯えて当然でしょうそう身構え
[00:03:27] ないで
[00:03:28] ください私は話をしに来たんです質問に
[00:03:33] 答えてパピオン様なら大活躍されてますよ
[00:03:39] アークと私をつなぎエデンで快適に過ごさ
[00:03:44] れていますしばらくは私とアークをついで
[00:03:49] くださることになりましたもちろん
[00:03:53] エデンには内緒でエデンはアークを嫌って
[00:03:59] いますからねでは再開の挨拶はこれくらい
[00:04:04] にしましょうバーニンガム福司令官様は
[00:04:08] どちらにどうして
[00:04:12] ああバーニンガム福司令官様が私を招待し
[00:04:16] てくださったの
[00:04:23] です少々お待ち
