# NIKKE 第17章 转录
视频ID: uSPSjlugsLk
URL: https://youtu.be/uSPSjlugsLk
语言: ja

[00:00:00] [音楽]
[00:00:21] この腹筋の動きは
[00:00:25] ブラザー気がつきましたか
[00:00:28] 目は開けられますか
[00:00:31] やっぱり
[00:00:37] 腹筋は嘘をつきませんね
[00:00:40] 目が覚めてよかったです
[00:00:42] ブラザー
[00:00:44] そりゃ
[00:00:46] ブラゾンを節減で精子の境をさまよってい
[00:00:49] たから
[00:00:51] はい
[00:00:53] 応急処置レベルですけど
[00:00:56] 銃弾がギリギリ外れててよかったです
[00:00:59] もちろんそれよりも
[00:01:01] 外にいる3人が
[00:01:03] 熱心に救助を求めていたことが一番役立ち
[00:01:07] ましたけど
[00:01:08] ラプチャーに気づかれる危険性を知ってい
[00:01:11] ながら
[00:01:13] 必死に叫んでいました
[00:01:14] あの叫びがなかったらいくら私でも
[00:01:19] 吹雪の中で皆さんを見つけることはでき
[00:01:21] ませんでした
[00:01:24] ここが
[00:01:25] 臨時のキャンプにふさわしいか調べに行っ
[00:01:28] たんですけど
[00:01:29] 思ったより時間がかかってますね
[00:01:32] そこまで危険な要素はないと思ったんです
[00:01:36] けど
[00:01:38] [音楽]
[00:01:40] まだ
[00:01:45] 起き上がっちゃダメですよ
[00:01:47] 応急処置をしただけって言ったじゃない
[00:01:49] ですか
[00:01:51] さ私が立たせてあげます
[00:01:54] [音楽]
[00:01:56] 立たせる
[00:01:59] 届けてあげます
[00:02:00] [音楽]
[00:02:07] 違いますよ
[00:02:08] 矛盾だ
[00:02:11] 健全な意味で立たせてあげます
[00:02:15] では3人のところに行きましょうか
[00:02:22] [音楽]
[00:02:30] ダメね
[00:02:31] どう見てもここは危ない
[00:02:34] 指揮官が目を覚ましたら
[00:02:36] 即移動しましょう
[00:02:37] じゃあアークへ行きましょうよ
[00:02:41] 悪へ
[00:02:42] どうして
[00:02:45] まだ
[00:02:46] 安全度の情報を何も手に入れていないじゃ
[00:02:48] ないですか
[00:02:51] ヒカン様がケガしたの
[00:02:52] 運が悪かったら
[00:02:54] 即死するところだったのよ
[00:02:56] ラプンツェルが私たちの救助信号に気づか
[00:02:58] なかったらそのまま死ぬところだった
[00:03:01] [音楽]
[00:03:03] そりゃそうですが
[00:03:05] だから帰りましょう
[00:03:07] 帰って戦力を立て直すか
[00:03:09] 主演を問い詰めるのよ
[00:03:11] 何か手を打ってから戻ってきましょうよ
[00:03:14] アニスは悔しくないんですか
[00:03:17] [音楽]
[00:03:19] 何これじゃ
[00:03:21] 奴らの思う壺じゃないですか
[00:03:24] アンチェインドの情報は何も手に入れて
[00:03:27] ないし
[00:03:27] [音楽]
[00:03:29] 裏切られた師匠はケガして
[00:03:31] 心が折れたまま帰ることをエキゾチックは
[00:03:34] 望んでいるじゃないですか
[00:03:36] 私はそんなの嫌です私だって好きでこんな
