# NIKKE 第26章 转录
视频ID: y32W12rS9s8
URL: https://youtu.be/y32W12rS9s8
语言: ja

[00:00:00] [音楽]
[00:00:10] えっと変な目で見ないでくれよ声が
[00:00:14] 聞こえるんだラピの
[00:00:17] えはいだから変な目でみんなって言った
[00:00:22] だろう見ていませんが顔に書いてあるぞ
[00:00:28] なんとそれは礼
[00:00:30] いやそれが本当だとしてラピの声だって
[00:00:35] どうして分かるのラピとは知り合いなんだ
[00:00:39] 私が死ぬ直前まで一緒にいたから今なんと
[00:00:43] だから一緒にいたんだよあん時はもう新色
[00:00:48] 末期中の末期だったからろに覚えてない
[00:00:51] けど
[00:00:53] なじゃあ何ラピはあなたの中に閉じ込め
[00:00:58] られてるってこと
[00:01:00] さあ
[00:01:01] ねむしろこっちが聞きたいぜそいつは変身
[00:01:06] できるのだ私たちが証言するのだそういえ
[00:01:11] ばあんたたち誰なんだルブレ我々は倍そり
[00:01:17] だ好きなる白消しなのんだもう新キャラが
[00:01:23] 多すぎるわ
[00:01:25] [音楽]
[00:01:27] よおおおているのだ少しあっただけなのに
[00:01:33] 覚えているとはなかなかやるのだ
[00:01:38] うんそれで好奇なる白騎士様証明できると
[00:01:43] はどういうことですかおのの正しいやつな
[00:01:48] のだいいから答えてくれる実際に見たのだ
[00:01:55] 私たちが宝探しをしている時大きな音が
[00:01:59] 聞こえたか様子を見に行ったらそいつが1
[00:02:03] 対3で戦っていたのだ1人で3人を圧倒し
[00:02:07] ながらバンバン飛び回って3人が逃げ出し
[00:02:12] た後1人で残されてしばらく棒立ちになっ
[00:02:16] ていたのだそれからバタっと倒れて今の
[00:02:22] あいつに変わったのだ変わるとはどのよう
[00:02:26] にう
[00:02:30] は難しいのだ
[00:02:33] ボキボキバキバキてしながら全く説明に
[00:02:38] なってませんよチャイムの言った通りです
[00:02:41] わ私も保証いたしましてよ初めてあった
[00:02:46] 怪しい2の保証なんて信じられないんだ
[00:02:50] けどお嬢様に向かって怪しいとは
[00:02:54] プレーナーの
[00:02:55] だ私たちこそ初めてあった貴様何親切に
[00:03:01] 説明してやっているのださっきからののだ
[00:03:05] うるさいのよきき
[00:03:09] [音楽]
[00:03:20] 様私を
[00:03:23] 使うそりはまたどういう意味だ私たちにも
[00:03:27] わかんないわよ
