# NIKKE 第36章 转录
视频ID: 706pbFRmG-U
URL: https://youtu.be/706pbFRmG-U
语言: ja
来源: youtube-transcript-api+yt-dlp

[00:00:04] 息が荒いぞヘレティック疲れてんだから
[00:00:09] 仕方ないでしょあの大波2つを出したかな
[00:00:14] 話には聞いてたけど確かにヘレティックに
[00:00:17] しては大したことない
[00:00:20] ね落ち着け怒りに任せて話すのは良くない
[00:00:25] 感情に支配されていると言いたいことも
[00:00:28] 言えなくなるぞこいつは何なの
[00:00:35] よそれ
[00:00:37] で何を話したいって答えてくれるのんな
[00:00:42] わけないでしょ
[00:00:45] ブカさっさとやりなさいよどうせ生かして
[00:00:49] おく気なんてないんでしょそれでいいの
[00:00:54] へあなたはそれでいいのかと聞いたの
[00:01:02] そうよやってみなさい
[00:01:06] よあんたたちのおになるぐらいならその方
[00:01:10] が全然マそう
[00:01:15] [音楽]
[00:01:23] さよならあら力の調節を間違えた
[00:01:27] みたいしすぎてがさせなかったわもう1回
[00:01:32] やり直すわ
[00:01:34] [音楽]
[00:01:44] ね殺しなさい
[00:01:46] よ遊んでない
[00:01:49] で今すぐ言い残すことは
[00:01:54] あ遊ばれる気はないって言ったでしょ
[00:02:01] [音楽]
[00:02:03] ふん仕方ないわね王子様に任せるわうまく
[00:02:08] いかないもの
[00:02:14] ね安く呼ばないで友達のふりをしてる
[00:02:18] つもりならやめ
[00:02:23] てなら中ちょうだい
[00:02:27] そしたら聞いてあげる
[00:02:31] 巨大化さえできればあんたたちなんて私
[00:02:36] 1人で
[00:02:43] も殺されたでしょあんたたち
[00:02:49] に馬鹿言わない
[00:02:55] で官情けをかけすぎでは
[00:03:01] なんて言った情けをかけすぎだと言ったわ
[00:03:05] あんたじゃなくてそっちの
[00:03:10] 男
[00:03:19] は何
[00:03:21] をなんで
[00:03:30] ふざけないで
[00:03:39] [音楽]
[00:03:48] よどうやってそれを信じろって言うのよ
[00:03:57] [音楽]
[00:04:03] [音楽]
[00:04:14] 私が嘘をついてたらどうする
[00:04:22] 気そんなんじゃ話にならないでしょ
[00:04:26] やっぱり私を騙すつもりで
[00:04:39] 指揮官それではあまりに条件が不利か
[00:04:44] とほら疑われてるじゃん仲間にまで仲間
[00:04:50] じゃないわ恋人よ
[00:04:53] え
[00:04:54] え
[00:04:56] え冗談よ
[00:05:06] [音楽]
[00:05:28] 先に行っておくけど
[00:05:30] 私が欲しいものを手に入れ
[00:05:32] たらそれまでだから
[00:05:36] [音楽]
[00:05:38] ねついてきて案内してあげる恐ろしい
[00:05:43] ところがあるわね王子様
[00:05:48] は何がだ今の取引の主導権は結局私たちに
[00:05:54] あるわ最悪の状況にはなりようがないはず
[00:05:58] よでもあちら側が有利なように見せかけ
[00:06:03] たその通りだもしベヒモスが復活して
[00:06:08] レビアタと一緒に襲ってきても私たちが
[00:06:12] 勝って終わるそう明らかな戦力さがある
