# NIKKE 第19章 转录
视频ID: 3yZlh66tRHM
URL: https://youtu.be/3yZlh66tRHM
语言: ja

[00:00:00] [音楽]
[00:00:04] クリア
[00:00:05] いい感じね
[00:00:07] 研究所までの道も順調だし
[00:00:11] 補給品もたくさんあるし
[00:00:13] 全部いい感じなんだけど
[00:00:17] 気になることが一つあるのよね
[00:00:19] [音楽]
[00:00:20] ニケっていつから指揮官抜きで地上で単独
[00:00:23] 行動できるようになったんだって
[00:00:27] そんなことできませんよじゃあ
[00:00:31] 秘密に夢中の他の舞台を尾行するのは
[00:00:36] [音楽]
[00:00:38] らしいけどどうする
[00:00:40] 先
[00:00:43] 出てきて3つ数えるうちに出てこないなら
[00:00:48] うつは3
[00:00:52] 2
[00:00:55] ホント
[00:00:57] 空気読めないんだから
[00:00:58] もうちょっといい雰囲気になってから
[00:01:01] 出ようと思ったのに
[00:01:04] せっかちなミツバチと違う
[00:01:06] ブンブンうるさいのよね
[00:01:08] あなたあれでしょいつもバーニングの福祉
[00:01:13] 霊感に付きまとってる
[00:01:15] ニケーそうよ
[00:01:17] 気づいてくれて嬉しいわ
[00:01:21] どうして
[00:01:23] ハニーを助けに来たのよじゃそちらの上司
[00:01:28] が壊したうちの宿舎から直してくれます
[00:01:32] ごめんねそれは私の権限外なのあそういえ
[00:01:37] ばその人に撃ち殺されそうになったことも
[00:01:40] あるんだけど
[00:01:41] その時受けた精神的ダメージがまだ残っ
[00:01:44] てるのよねそれも保証してくれない
[00:01:47] [音楽]
[00:01:53] 本当
[00:01:54] 悲しいわ
[00:01:55] [音楽]
[00:01:57] 同じ職場でお給料をもらって働いてるのに
[00:01:59] ここまで疑われなきゃいけないの
[00:02:03] ハニーも犯人を
[00:02:06] ミツバチたちがこんなに私をいじめてるの
[00:02:10] 止めようとさえしないのって
[00:02:12] ひどいと思うの
[00:02:15] ほんと悲しいわ
[00:02:20] それであなたの目的は
[00:02:24] 監視それともマリアに関する情報あなた
[00:02:31] [音楽]
[00:02:38] 達が望む通り
[00:02:40] ストレートに言わせてもらうから
[00:02:44] 情報が欲しいのかって聞いたわよね
[00:02:47] そうよ
[00:02:50] 正直それ以外にないでしょ今あなたたちが
[00:02:54] 持ってるのはそれだけなんだから
[00:02:56] それでそれの何が問題なの
[00:03:01] 情報なんて
[00:03:02] もともと一方向だけに流れるものじゃない
[00:03:05] でしょう
[00:03:08] 私が言いたいのは
[00:03:12] 自分のところに飛んできた蝶々が
