# NIKKE 第21章 转录
视频ID: pltXmzzqBtM
URL: https://youtu.be/pltXmzzqBtM
语言: ja

[00:00:00] [音楽]
[00:00:06] あれな
[00:00:08] の多分クジラみたいですしあら目がいいの
[00:00:14] ねもちろんですよこの眼鏡は飾りじゃあり
[00:00:19] ませんから揮官様本当にあれな
[00:00:25] のそっかそれであれする
[00:00:31] て
[00:00:33] えっとどうやって私の火力はもちろん空を
[00:00:38] も貫きますがあくまで例えであってあそこ
[00:00:42] までは
[00:00:43] ちょっとあれほど航空飛行をしている大型
[00:00:47] 輸送器を追撃する武装や装備は今の我々に
[00:00:51] はありませ
[00:00:51] [音楽]
[00:00:54] んところであれは何なんですかコード
[00:00:59] ネームマザーホエール第1次ラプチャー
[00:01:02] 進行の時からずっと使われてる超大型輸送
[00:01:06] 器を第1次ラプチャー進行の時からですか
[00:01:11] じゃあかなり年期が入っているのではそう
[00:01:16] ねなのにどうしてグランドマザーフエル
[00:01:19] じゃないんでしょう
[00:01:23] か
[00:01:27] あラピもせめて作り笑いくらいして
[00:01:30] くださいよ面白いわねありがとうござい
[00:01:36] ますマザーホエールが今も現役である理由
[00:01:40] は簡単よ高く飛べて大量に積むことが
[00:01:44] できるから輸送期にそれ以上の機能は必要
[00:01:48] ないだから今でも使われているのよ第一次
[00:01:53] ラプチャー進行の時に追撃された数もごく
[00:01:56] わずかだったしでは師匠もう一度聞きます
[00:02:01] ねあれをどうするんです
[00:02:06] か
[00:02:07] その現実身がなさすぎじゃないあんな上に
[00:02:12] いるのにどうすればいいのよそれにどうし
[00:02:16] て急にあれを捕獲しないといけなくなった
[00:02:18] の私たちが探してるのってアンチェインド
[00:02:22] じゃなかったそうですよせっかく手に入れ
[00:02:26] た一発はあの真っ赤な方に使っちゃいまし
[00:02:30] だからそれさえもうまくいかなかったけど
[00:02:33] ね確かにいってはいたけどピンピンして
[00:02:37] なかったはい私ははあヘレティックである
[00:02:43] 俺がこんな場所
[00:02:46] でってくらい大ダメージでも与えられるか
[00:02:50] と思ったんです
[00:02:51] がアニスネオあすみません演技がいまい
[00:02:58] でしたいや責めてるわけじゃないの
[00:03:03] もちろん空を飛んでいるクジラを見るのも
[00:03:05] 悪くはないわでも私たちにはもっと大事な
[00:03:10] ことがある
[00:03:13] でしょ指揮官それは私も気になります
[00:03:18] マザーホエールを捕獲しなければいけない
[00:03:20] 特別な理由があるのですか
[00:03:25] [音楽]
[00:03:30] 今何とおっしゃいまし
[00:03:34] [音楽]
[00:03:39] た理論上は可能ですしかし言いましたよね
[00:03:45] あなたがそれを手に入れた
[00:03:47] 瞬間その力を手に入れた
[00:03:50] 瞬間多くの人々から狙われることになる
[00:03:57] とあなたはーでもかなり注目されている
[00:04:01] 人物ですアンチェインドを使わないなら話
[00:04:04] が別ですが使うつもりでしょう使った瞬間
[00:04:09] 秘密がバレあっという間にアーク全体に噂
[00:04:13] が広まるはず
[00:04:16] [音楽]
[00:04:18] ですその様子じゃ意見を曲げる気はなさ
[00:04:22] そうですねいいでしょうあなたが居の道を
[00:04:27] 歩むというのなら止はしません
[00:04:30] 実際私にとってもいい機会ですから
[00:04:34] アンチェインドの弾丸を作れるなんて作成
[00:04:38] にあたり用意して欲しいものがあり
[00:04:42] ますはいコードネームマザーホエールを
[00:04:47] 捕獲して
[00:04:49] [音楽]
[00:04:50] くださいねえ揮官様私の話聞いてる
[00:05:03] あえついに指揮官様にも言えない秘密が
[00:05:09] できたってこと
[00:05:11] やはり新たな出会いは新たな秘密を生む
[00:05:15] ものです
[00:05:16] ねまあアークの人間たるもの怪しい秘密の
[00:05:22] 1つや2つくらい持ってなきゃねわかり
[00:05:25] ましたこれ以上は尋ねませんしかし
[00:05:30] マザーホエールを引きずり下ろす方法が
[00:05:32] ないという点は変わりません何か作戦が
[00:05:36] 終わりです
[00:05:36] [音楽]
[00:05:42] かわかりました移動しましょうそういえば
[00:05:47] パピオンとあのドロシーって子はどうして
[00:05:50] 一緒じゃないのパピオンは風を引いたそう
[00:05:53] よやれやれ嘘をつく気もないってことね
[00:05:58] ドシは疲れがたまっているそうよああやれ
[00:06:03] やれあの2人一緒にいても大丈夫なの
[00:06:08] ドロシーの心配をしているのそれとも
[00:06:12] パピオその2人
[00:06:16] 以外そう
[00:06:19] ま心配いらないわ今頃2人はお互いを利用
[00:06:24] しようとしてるけどそうはさせまいと必死
[00:06:28] でしょうからお互い一歩も動けずにいる
[00:06:31] はず
[00:06:35] [音楽]
[00:06:40] よ
[00:06:44] はいあの後あなたの血に流れる
[00:06:47] アンチェインドの成分を使い様々な実験を
[00:06:51] 行ってみました弾丸を始め各軍に適用
[00:06:56] できるか確認したのです結論からう
[00:07:00] 全て
[00:07:01] 失敗金属と合成する家庭で成分が失われて
[00:07:06] しまいました金属と相性が悪いようですが
[00:07:10] 正確な理由はよくわかりません何せ
[00:07:14] サンプルが少ないのでとにかく各種金属や
[00:07:18] ガッデムはもちろん
[00:07:20] ラプチャーの部品とも合成を試みましたが
[00:07:24] 全て失敗に終わりましたンチが含まれない
[00:07:29] あなたの血だけが混ざった不気味な弾丸が
[00:07:32] 生まれただけですまあ誰かを呪う際に
[00:07:37] 役立つかもしれませんけど
[00:07:38] [音楽]
[00:07:41] ねはい金属と合成できない以上仕方がない
[00:07:52] でしょうそうですか検査には軍事用の
[00:07:57] スキャン装置を
[00:08:01] それなら軍事用に使われる物質しか判別
[00:08:05] できなかったはずですアンチェインド団の
[00:08:08] 核となる物質は軍事用には使わない正しく
[00:08:13] は使えない物質のはずです
[00:08:16] [音楽]
[00:08:20] からアンチェインド団の核となる物質は
[00:08:25] 人間の細胞なんです
[00:08:29] アンチェインドはあなたの体内を流れてい
[00:08:32] ますそこで試しに人間の細胞と合成してみ
[00:08:36] たのですが弾丸というカテゴリには入る
[00:08:40] 何かが生まれまし
[00:08:44] たああ私のものを少し使いまし
[00:08:48] たどの部位から採取したのかもお伝えした
[00:08:52] 方がいいです
[00:08:54] かとにかくこの方法を用いて作られた
[00:08:59] アンチェインド団では弾丸としての機能を
[00:09:02] 果たすことはできませんでした金属のよう
[00:09:05] な高度がないため発射時の爆発にすら耐え
[00:09:09] られなかったのですヘレティックやニケの
[00:09:12] 体を貫くなんて夢のまた夢でしょう強化
[00:09:17] プラスチックや新素材などで弾丸を作る
[00:09:20] ことはできますが決定打にかけるという
[00:09:23] 事実には変わりありませんそこで必要なの
[00:09:27] がマザー
[00:09:31] [音楽]
[00:09:33] です一次進行寺のラプチャーには今のよう
[00:09:37] な反永久的な動力源は備わっていません
[00:09:40] でしたそのため彼らは動力源となる材料を
[00:09:45] 補給し続ける必要があったのですその材料
[00:09:49] とは一体何だったと思います
[00:09:54] かご想像の通り人間と動物でした
[00:10:01] [音楽]
[00:10:08] [音楽]
[00:10:09] はいラプチャーが現れた当初は手当たり
[00:10:13] 次第に殺戮を繰り返していましたがその後
[00:10:17] すぐ人間の捕獲を重点的に行うようになり
[00:10:21] ました長期間の活動に備え力を確保する
[00:10:26] 必要があったからです
[00:10:29] 彼末は言わなくてもわかりますよ
[00:10:34] ね不興中の幸とでも言いましょう
[00:10:38] か人類がアークに移転してからは材料の
[00:10:43] 確保は行われませんでした地上から材料が
[00:10:47] 消えたせいなのか非行率だと判断したから
[00:10:51] なのかは分かりませんがその後ラプチャー
[00:10:55] は現在の反永久的な動力を手にしました
