# NIKKE 第39章 转录
视频ID: n1YLOO7pJJU
URL: https://youtu.be/n1YLOO7pJJU
语言: ja
来源: youtube-transcript-api+yt-dlp

[00:00:06] あ、な、何なの?どこよ、ここ?多分マザーホエールの中食べられたってこと?
[00:00:18] そうみたい。早く出よう。え?うん。
[00:00:27] 何してんの?早く出るんでしょ?
[00:00:31] え?私がやるの?
[00:00:33] 今は力が出せないし。
[00:00:36] あ、えっと、私も同じなんだけど、ダークマターもたくさん使っちゃったし、ずっと飛び回ってたし。
[00:00:48] そうだったね。
[00:00:50] あ、待って、待って。やっぱり元気
[00:00:52] いっぱいやだなあ。冗談がっかりしすぎだ
[00:00:58] よ。レビー
[00:01:00] ほらよく見てよ。一発で大きな穴を開け
[00:01:05] ちゃうから。無理しないでいい。あんたも
[00:01:10] 疲れてるでしょ。え?でも
[00:01:15] 何も起こらないみたいだし。
[00:01:18] 少し休も座って人休みしたらすぐ出るから。
[00:01:26] ええん。あいつらクラトニーを追い払ってたよね。
[00:01:36] うん。
[00:01:37] 強いんだね。すっごく。
[00:01:40] うん。
[00:01:41] 追いかけてきてるかな?
[00:01:43] しばらくは大丈夫でしょう。時間の問題だけど。
[00:01:48] そうだよね。じゃあ私も準備しないと。
[00:01:53] 準備って何の?
[00:01:55] え?何って?
[00:01:58] う、もちろんあいつらと戦う準備だよ。
[00:02:03] でも
[00:02:04] ずっと私たちと話がしたいって言ってたし
[00:02:08] 、してみたりしないの?お話ん
[00:02:14] もしかしたら私たちのこと手伝ってくれる
[00:02:18] かもしれないし
[00:02:23] ない。なんで?あ、えっと責めてるわけ
[00:02:27] じゃないよ。
[00:02:28] でも気になるから。私は誰も信じない。じゃあ私たちは
[00:02:39] あんたたちは別でしょ。バカ。家族なんだから。
[00:02:43] え、家族?私たち家族だったの?
[00:02:52] 違う。
[00:02:53] うん。違わないよ。聞いてみただけねえ。
[00:02:58] デビー、私が拾ってきたコアが2つある
[00:03:02] 人間もきのことだけど、これベヒモスに
[00:03:06] 食べさせてみようよ。そうすればベヒモス
[00:03:10] が元気になって私たちをここから出して
