# NIKKE 第20章 转录
视频ID: xNyagXpq6a4
URL: https://youtu.be/xNyagXpq6a4
语言: ja

[00:00:00] [音楽]
[00:00:07] ただいまより作戦を開始します作戦目標は
[00:00:12] ヘレティックの2リスター
[00:00:14] 討伐スキャンのためエブラ粒子の浄化
[00:00:18] シーケンスを実施します
[00:00:30] 浄化完了スキャンデータ及び過去の交戦
[00:00:34] 内容を元にターゲットの現在値を追跡中今
[00:00:39] 指揮官お2人の端末に予想座標を転送し
[00:00:42] ました空を利用しての継続的な移動が予想
[00:00:46] されるためなるべく早く追いついて
[00:00:53] くださいそうですよリスターの異名は狩
[00:00:58] ですから龍の姿で空を飛び超高熱の火炎を
[00:01:03] 放射するの
[00:01:05] ですありえないそんなのどうしたらいいの
[00:01:10] 対空火器を使うんじゃないですかそういう
[00:01:14] 意味じゃなくて火を白龍でしょう上層部
[00:01:19] 幹部の福間がそんなのどうやって捕まえる
[00:01:21] の服が丸小げになっちゃうわ
[00:01:25] よわ今すごく哀れな目で見られてましたよ
[00:01:31] 大丈夫地獄からだって生きて帰ってこれれ
[00:01:34] たんだもの考えてみたらそうですね地獄で
[00:01:39] 鍛えられた銃もあります
[00:01:44] し式官大丈夫ですかこんな人たちと一緒に
[00:01:50] 作戦を行う
[00:01:57] なんてどうしますヨハン
[00:02:00] 私は結果さえ保証できるなら何でもいい
[00:02:03] ですよもしあなたがドロシーと違うやり方
[00:02:08] で目標を貫くというならそれも1つの結果
[00:02:13] として認め
[00:02:17] ましょう
[00:02:19] いや単独作戦だと思って動け
[00:02:22] あじゃあこの弱虫たちにわざわざ合わせる
[00:02:26] 必要ないんだね危くこいつらを守るための
[00:02:31] 防火壁になっちゃうところだったよどう
[00:02:34] いうことですかあなたたちニヒルスターと
[00:02:38] 戦ったことないでしょうあいつ怒り出すと
[00:02:43] こっちの地線からあっちの地線まで全部
[00:02:47] やけのほにしちゃうんだよねそこで今
[00:02:50] みたいにぼさっとしてたら助けになる
[00:02:54] どころかこのノア様の盾の耐久度を減らす
[00:02:58] ことしかできないってわけ
[00:03:01] アダスタちょっと戦ったことがあるからっ
[00:03:04] ていらないでよねそうですよ私たちだって
[00:03:10] 5回でも戦ったことがあれば目をつぶって
[00:03:13] でも勝てます
[00:03:17] よはい問題ありません若干のいざこざは
[00:03:22] あってもここにいる皆さんは楽園に認め
[00:03:27] られし人材ですから
[00:03:30] [音楽]
[00:03:35] ノア指定した地点でシールドを展開し
[00:03:40] は上空で待機して10秒後に全発射して
[00:03:44] くる
[00:03:45] はいらウイルスは負け終わったもちろん
[00:03:50] よ爆発の合図だけお
[00:03:54] 願い今だどし
[00:04:12] ラプチャー前期沈黙確認いやまあね
[00:04:18] キャリーしてもらうのも楽でいいんだけど
[00:04:21] このままじゃ何にもやることないじゃない
[00:04:25] 私たちはニヒスターと戦う本命だから力を
[00:04:28] 温存しておけってことじゃないです
