# NIKKE 第24章 转录
视频ID: xliJaykqwkA
URL: https://youtu.be/xliJaykqwkA
语言: ja

[00:00:01] [音楽]
[00:00:11] アークにラプチャーが入り込むという前代
[00:00:14] 未もの事件が発生しましたしかし中央政府
[00:00:18] の迅速な対応によりアークの全市民が
[00:00:21] シェルターに避難し全2家が投入され
[00:00:25] ラプチャー相当に当たった結果死亡者0人
[00:00:29] と
[00:00:31] 果をめましたアークは安全です中央政府は
[00:00:36] この事件は2日以内に解決すると予測して
[00:00:39] おり状況は非常に良好だそうですまた中央
[00:00:44] 政府は市民に絶対にシェルターの外に出
[00:00:48] ないよう強く勧告しています事故防止の
[00:00:52] ため非常脱出よの作を禁じます状況終了後
[00:00:58] 中央政府がシェルターの扉開けるまでは扉
[00:01:01] に近づかないでください扉に近づいた場合
[00:01:05] 殺される恐れがあるとの警告がありました
[00:01:09] シェルター内部の利便設と物資は十分です
[00:01:13] 市民の皆様は安心して待機
[00:01:31] [音楽]
[00:01:47] ん
[00:01:55] [拍手]
[00:02:07] [拍手]
[00:02:18] 地獄行きだね
[00:02:23] [音楽]
[00:02:43] 対応が早いなずっと監視してたのか
[00:02:49] いいえ信号をキャッチしたんです信号
[00:02:54] azxには被爆信号を無力化できる機能が
[00:02:58] あるの数十
[00:03:00] 数百数千個の被爆信号パターンに全部対応
[00:03:04] できるんだよ逆方向の追跡もできちゃう
[00:03:09] 列車が爆発する
[00:03:11] なんて2度と会っちゃいけないことだから
[00:03:14] よい秋冬だなあなたエキゾチック部隊の
[00:03:19] クローでしょうどうしてこんな真似を銃を
[00:03:23] 向けられながら質問されたら何でも答え
[00:03:26] なきゃいけないのか答えてください
[00:03:30] ことあるじゃあ質問を変えるよafxって
[00:03:35] 列車を知ってる知ってるそれ
[00:03:39] だけ何が聞きたいん
[00:03:43] だafxを爆破させたのはあなた
[00:03:53] ああ
[00:03:57] リーゼルあなたですか
[00:04:00] あなたが私たちを私の
[00:04:06] 弟そうかお前たちが悪趣だ
[00:04:14] エリシオなんですって列車テロで死んだ
[00:04:18] 人間を列車を管理するにするなんて悪趣
[00:04:23] 以外の何者でもないだろお前らは呪にれ
[00:04:27] てるん
[00:04:30] だった強烈な感情を利用した呪縛に過去の
[00:04:35] 記憶を担保としてお前らを捉え抜け出せ
[00:04:39] ないようにしたんだ最後に言いたいことは
[00:04:42] それだけですか私を殺すのか
[00:04:47] はいなぜ復讐ですそうかリミットが解除さ
[00:04:53] れてないから私を打つことはできないはず
[00:04:57] だ
[00:05:00] 動くなあそこが良さそうだなあの黄色い
[00:05:05] 部品が見えるか下の切合部を打て破裂して
[00:05:12] 勢いよく破片が飛び散るだろうそしてその
[00:05:16] 破片が私の頭部に刺さるはずあなた私を
[00:05:22] からかってるんですかアドバイスしてるん
[00:05:25] だて
[00:05:29] 解除なしで私を殺せるぞ私が撃てないとで
[00:05:35] も
[00:05:36] 毎日何度も何度も思い出すんです
[00:05:41] お姉ちゃんと呼んでくれたあの顔をあの声
[00:05:45] をあなたがいなければあなたがあんなこと
[00:05:49] さえしなければ私の弟はうて抵抗はしない
[00:05:57] ええご心配なく打ちます
[00:06:04] からおやおや誰かを打つのは初めてかコツ
[00:06:10] を教えてやろう強くイメージするんだ人を
[00:06:15] 打つわけじゃない横にある物を打つだけ
[00:06:19] だってなそれだけを
[00:06:22] 考えろ横のものを打てば怪我をさせて
[00:06:26] しまうかもしれない最悪な場合殺して
[00:06:30] しまうかもしれないそんなことは考えるの
[00:06:34] 選択して集中するんだお前の頭の中にある
[00:06:40] 妊婦を制御するというイメージを持ってる
[00:06:44] そうすれば
[00:06:47] 撃てるありがとうございますおかげで
[00:06:51] イメージが固まりました地獄に落ちて
[00:06:55] ください
[00:07:01] ソリブリットが通報したよ打つのはやめて
[00:07:05] おこうどうしてふっちゃん行けないと
[00:07:11] 思うどうしてかは分からないけどダメだと
[00:07:16] 思うやめよね
[00:07:19] ソリ私分かったんです何を列車テロで全て
[00:07:27] 失った人々を逃げとしてて列車を管理させ
[00:07:31] たのは
[00:07:33] 今この瞬間のためだったと私が
[00:07:37] インフィニティレールの2になったのが今
[00:07:41] この瞬間のためだったん
[00:07:43] ですだから止めないでくださいソリ私には
[00:07:48] 弟
[00:07:49] のあの日死んだ全ての人々の復讐をする
[00:07:55] 資格が
[00:07:56] ある違うよ
[00:08:00] 私にはよくわからないけど人間だった頃の
[00:08:03] 理想に基づいて2の能力は決まるん
[00:08:06] でしょうそれならディーゼルは復習する
[00:08:09] ために2になったんじゃないよだって
[00:08:12] そんな能力ないじゃないグリットが運転し
[00:08:16] てディーゼルが管理して私が乗客を
[00:08:19] サポートし
[00:08:21] て私たちに与えられたのはそういう能力
[00:08:25] でしょazxをちゃんと運用してを目的地
[00:08:30] まで快適に安全に連れていくのが私たちの
[00:08:34] 得意なことだよ私たちが家になる時に手に
[00:08:39] 入れたかった能力ってそういうのじゃない
[00:08:42] の復讐する能力じゃなく
[00:08:49] て撃つのはやめよディーゼルねよくわかん
[00:08:54] ないけど撃ったら戻れなくなると思う
[00:09:00] azxを見るたびに人を打ったこと
[00:09:03] ばっかり思い出しちゃう
[00:09:06] よ
[00:09:11] サリ撃たないのかじゃあここで失礼する
[00:09:18] よお前ら
[00:09:21] は
[00:09:24] うるさい何も言わずに出ていっ
[00:09:27] てそして2度と
[00:09:30] azxには乗らないでそう
[00:09:40] しよう
[00:09:42] ソリン私私も打ちたかった
[00:09:48] よで
[00:09:50] も怖くてできなかっ
[00:09:53] た自分が打つのも怖かった
[00:09:56] けどリーゼルが打つのも怖かった
[00:10:01] だから止めたのもしかし
[00:10:04] て私が間違ってたディーゼル
[00:10:09] に悪いことしちゃっ
[00:10:12] たいいえありがとうございますソリン止め
[00:10:17] てくださっ
[00:10:18] てありがとうござい
[00:10:22] ます邪魔が入ったみたいね
[00:10:26] あああらら
[00:10:29] 暗い顔して何かあった
[00:10:34] の別に何もそれならいい
[00:10:41] けどジャッカル無事かなさあなあいつの
[00:10:47] 動き次第
[00:10:49] だろう本当ひどいねジャッカルにしきで
[00:10:54] 戦えて命令したくせにあいつの動き代って
[00:11:01] 私の言葉に忠実に従っていれば死んだはず
[00:11:04] だしそうじゃなきゃ生きてるはずだ
[00:11:08] ジャッカルが命令を破ったと思う
[00:11:12] いやじゃあ死んでるねそうかもしれない
[00:11:20] なお別れの挨拶でもしておけばよかった
[00:11:25] 残念
[00:11:30] [音楽]
[00:11:37] 以上
[00:11:40] ですクローはおそらくミシリス医療
[00:11:43] センターに潜り込んでいると思います
[00:11:46] azxの目的地がそこでしたし人混みに
[00:11:50] 紛れて入るのにぴったりなタイミングでし
[00:11:52] た
[00:11:56] から正面からは入っていないでしょ
[00:12:00] ミシリス医療センターは規模が大きくて
[00:12:03] 入り口も多いです
[00:12:08] から指揮
[00:12:10] 官私打てませんでした数回数百回も考えて
[00:12:18] きたことなのにできませんでし
[00:12:25] たソリンと同じことを言うんですね
[00:12:31] ミシリ医療センターはアークで安全な場所
[00:12:34] の1つですazxにもある信号無力化は
[00:12:38] もちろん各部屋が完全に独立しているため
[00:12:42] 爆発が抑えられます大規模なテロはでき
[00:12:46] ない場所ですそれなのにクが向かったと
[00:12:49] いうことはテロではなく他の目的があると
[00:12:53] 考えるべき
[00:12:56] でしょうはいお願いしますどうかお気を
[00:13:01] つけ
[00:13:04] て四官様大丈夫
[00:13:12] あいつ一体何がしたいのシェルターを
[00:13:16] めちゃくちゃにした上にアンチェインド
[00:13:19] まで奪うなんてど超えてるわ
[00:13:28] よラジャ
[00:13:39] [音楽]
[00:14:21] やれやれひとまずミシリ医療センターに
[00:14:25] 行きましょう何が目的かは分かりませんが
[00:14:29] 捕獲しなくては
[00:14:35] [音楽]
[00:14:59] S
[00:15:39] [音楽]
[00:15:51] [音楽]
[00:15:53] 次え今倒したので何人目ですか少なくも
[00:15:59] 20はきそうです
[00:16:00] けど知るか覚えてねえよそれにしてもドバ
[00:16:06] は結構根性ありますね羽のおかしな勝負に
[00:16:09] 答えるなんて大量に攻め込みば一発なのに
[00:16:15] けに成功したなドバはプライドが高いから
