# NIKKE 第38章 转录
视频ID: QlRHtXiPc1I
URL: https://youtu.be/QlRHtXiPc1I
语言: ja
来源: youtube-transcript-api+yt-dlp

[00:00:00] 精密検査とは言えないけれど、検査の結果
[00:00:03] は異常なしよ
[00:00:05] 。わずかな傷さえ見当たらないわ
[00:00:09] 。ええ、それから問題のレビアタに刺され
[00:00:14] た後だけれど、検査を始めた時にはあった
[00:00:18] はずの傷跡が検査が終わった時には
[00:00:21] なくなっていたわ。服に穴が開いてい
[00:00:24] なければ刺されたことが証明できない
[00:00:27] くらいよ。
[00:00:28] 何が起こってるの?ベビー人間やめちゃった。こうだったの?
[00:00:30] [音楽]
[00:00:42] [音楽]
[00:00:47] 随分前から回復が異常に早いと思ってはいたわ。骨が折れてもすぐに治るほどだったから。他にも
[00:00:48] 2
[00:00:48] の戦闘用ボディを素で持ち上げたり、体感用ライフルでの射撃を自力で行したり。妙なことはあったわね。
[00:00:57] ラピーどう思う?
[00:00:59] 素敵だと思うわ。さっき傷を確認した時に見た腹筋もあかったわ。とはいえ今回のように目に見える速度で傷が回復するのは初めてよ。当然そんな能力を持った人がいるなんて聞いたこともないわ。
[00:01:01] [音楽]
[00:01:23] 状況的に助かってることは間違いないか?ベビー、この作戦が終わったらちょっと話がしたいんだけど。どっちでも同じことでしょ。
[00:01:26] [音楽]
[00:01:39] 館長生こみたい。生子も回復が早いんだよ。
[00:01:41] [音楽]
[00:01:45] 普段からラムをたくさん飲んでるんじゃねえか。怪我の回復に効くっぽいからな。
[00:01:48] [音楽]
[00:01:52] 冗談を言っている場合ではないわよ。
[00:01:55] 真面目な話っすよ。映画なんかじゃよく口にラムシをドバドバかけたりするっす。要はそうする理由があるってことで体の中にラム種が残ってれば傷の治りも早くなるに違いないっす。つまり種は怪我に効く。
[00:02:02] [音楽]
[00:02:10] [音楽]
[00:02:15] 論理的。
[00:02:17] そういうの酔っ払いの理屈というの
[00:02:20] 。今は都合がいいことも確かですが、何の
[00:02:24] 副作用もないとは思えません。やはり不傷
[00:02:28] 。特に出血はなるべく避けた方がいい
[00:02:31] でしょう。そう思い通りにはないだろう
[00:02:34] けどね。レビアタンはかなり弱ってた
[00:02:37] みたいだけど問題はあの事ってこの方飛行
[00:02:41] 能力があったね。輸送力も高いわ。
[00:02:45] 私たち全員をあのコ度まで運んでいたもの。悔しいけどアドマイヤゴの対空きでは落とせそうにないわ。的が小さい上に早すぎる。それでも効かないわけではなかったわ。牽制射撃ぐらいはできるでしょう。地図が飛び上がったら弾幕を張って。動きを鈍らせるだけでも意味があるわ。
[00:02:50] [音楽]
[00:03:12] そうね。任せて。
[00:03:13] あとはあのベヒモスってやつの卵をどうするか。あ、みんなちょっと待ってて。ラプラスドレイク。
[00:03:18] [音楽]
[00:03:23] ヒーローラプラス待機中だ。
[00:03:25] ドレイクは
[00:03:27] 同じく待機中だ。
[00:03:30] じゃあなんで返事がないの?
[00:03:31] [音楽]
[00:03:33] それはヒーローシークレットだ。
[00:03:37] 何してるの?
[00:03:40] 返事しないならパワーアップはなしね。
[00:03:43] 愛肉を焼いている。天気で火力に気を使っている。
[00:03:45] [音楽]
[00:03:52] そう、分かった。そのことはいいわ。何か報告はある?
[00:03:53] [音楽]
[00:03:57] 下味をつけるのは忘れてドレイクが残念がっている。
[00:03:59] [音楽]
[00:04:02] 卵の方異常はないの?
[00:04:04] [音楽]
[00:04:06] い、異常はない。
[00:04:09] そう。
[00:04:10] ゆっくり焼いてなさい。たまにこうやって確認しないといけないの。何を知れかすかわかんないから苦労しているようね。
[00:04:15] [音楽]
[00:04:20] とにかく話を戻してベヒモスの卵のこと私は割ってみたらどうかと思うんだけど中でヘリティックが再生してるってことはつまり完成前のものが見られるでしょ。
[00:04:23] [音楽]
[00:04:36] ヘレディック単の秘密が解明できるんじゃない?
[00:04:43] [音楽]
[00:04:52] [音楽]
[00:04:54] まだフォビーストとの対話の可能性は捨てていないわ。そのための最後の手段を壊すわけにはいかない。あっちはその気がなさそうだけど。卵を割ればその時こそ本気の捨て身で襲ってくるはずよ。
[00:04:55] 2度と話もできなくなるわ。
[00:04:57] どうやって交渉に持ち込むつもり?
[00:04:59] 力づくは?
[00:05:02] 力づくで交渉の席につかせる。
[00:05:06] 随分過激になってない?元からそんな感じ
[00:05:10] だったっけ?今までは抑制していただけよ
[00:05:13] 。まあできるなら完璧な解決法だしそこに
[00:05:18] は何も言わないけどでもよく考えて
[00:05:23] マリアンの時とは状況が違う。フォースは
[00:05:26] 敵体的だし私たちにはヘリティックの情報
[00:05:29] がなさすぎる。どんな情報でも持ち帰り
[00:05:32] さえすればアークの役に立つはず。
[00:05:36] ミシリスのでしょ
[00:05:39] 。いい。主演のと言った方が正確ね
[00:05:45] 。マクスエル、主演の事情を優先したいの
[00:05:49] は分かるわ。でもフォービーストとの交渉
[00:05:53] を成功させて協力関係を確立できればそれ
[00:05:58] 以上に得られるものがあるはず。私には
[00:06:01] 分からないよ。
[00:06:03] トビーストがそこまで信用できるのか。
[00:06:06] 主演に手土産を持ち帰ったところでまともになる保証もないわ。うん。元から正論でついてくるタイプだったけど切れ味が増してるね。もう何も言えないよ。
[00:06:08] [音楽]
[00:06:21] そう。私は主演に持ち帰る鉱石が欲しいの。チャンスがあるなら無理にでも掴みたい。一言わせてもらえるかしら。
[00:06:24] [音楽]
[00:06:32] 聞かせて。
[00:06:34] 鉱石欲しさに見失ってはならないものもあると思うわ。誰よりも鉱石が欲しいという話ならイジス部隊も同じよ。でもそのための手段は選ぶわ。屈辱に耐えて過ごすことになるとしても手段を選ばないのならとっくに何かしていたでしょうね。
[00:06:37] [音楽]
[00:06:55] けれど共官もバー人ガム福司令官もそして
[00:07:00] 私もそれをした瞬間1番大事なものを失う
[00:07:05] と分かっているの誇りや
[00:07:09] 真が自分であるために必要なもの1度
[00:07:13] 捨てれば2度と取り戻せないもの大事に
[00:07:17] それを抱えて努力し続けることそして本当
[00:07:22] のチャンスが来た時に確実に掴み取ること
[00:07:26] 。それしか道はないと思うわ。私の知る
[00:07:29] メティスのマクスウェルは誰よりも理性的
[00:07:33] で氷的な2件を自分や舞台の価値を下げる
[00:07:36] ような選択はしないでほしいわ。いつもの
[00:07:40] ように圧倒的な実力でメティスらしく成果
[00:07:45] を上げればいいのよ
[00:07:48] 。お、ごめん。変なこと言って。うん。
[00:07:54] 私たちらしくやる。それが正解だね。本当
[00:07:57] にごめん
[00:07:59] 。地上に会いがあるぜ。あちこっちで
[00:08:04] ロマンが花りだ。大変だ
[00:08:08] 。どうしたの?肉が焦げてしまった。高級
[00:08:14] バイオ肉だったのに。木でも焼いて食べて
[00:08:17] た。マイヤーはこれ以上先に行けねえな。
[00:08:24] 危険すぎる
[00:08:27] 。塩の目だ。黒と銀色の水が混ざり始めて
[00:08:31] ただろ。もうその辺りはほとんど銀一食だ
[00:08:35] 。アークマターだかダークマターだったか
[00:08:39] ならアドマイヤーゴが浮くのは分かってる
[00:08:42] が銀色の海の上でも浮くっておしょうが
[00:08:45] ねえ。万が一にもマグマみたいに見え
[00:08:49] た切ってたらアドマイヤーゴがナパ線に
[00:08:52] なっちまう。
[00:08:54] [音楽]
[00:08:57] 私だけならそれでもいいが、仲間を巻き添いにするのはロマンじゃねえ。ある程度分かってるリスクならともかくもんは生まれて初めて見るからな。調子に乗って乗り上げたらどうしようもなくなっちまうぞ。まあ、まだ射程圏内だから支援攻撃はできるぜ。
[00:08:59] [音楽]
[00:09:20] この先は銀色の水がずっと広がってる。でも黒い水がここまでしかない。あと銀の水はあっちにある銀の木から流れてきてるみたい。
[00:09:21] [音楽]
[00:09:36] 銀の木?
[00:09:37] うん。金色の身がなってる銀色の木。すごく怪しい。
[00:09:46] 地上でそういうものを見たことは
[00:09:51] あれが銀色の水を流してるなら調べた方がいいかも。
[00:09:53] [音楽]
[00:09:57] うん。ひとまず調べに行ってみよう。もう正規の大発見をしてるって感じがするよ。
[00:10:03] 当たり前だけれど銀の液体には触れないように注意して。
[00:10:09] [音楽]
[00:10:15] 分かった。
[00:10:17] ありがとう、ベビー。ワイヤーでしっかり繋いである。少し思いが引っ張れるぞ。もちろんだ。
[00:10:18] [音楽]
[00:10:31] バカ、バカ、バカ。
[00:10:33] [音楽]
[00:10:40] え、痛いよ、レビー。もうやめて。行っちゃった。なんで逃げたの?私まで巻き込んで。
[00:10:56] だってベビーが死んじゃいそうだったから巨大化だってできてたのに。
[00:10:59] [音楽]
[00:11:03] え、そうかな?できてた。
[00:11:07] [音楽]
[00:11:09] 分かった。分かったからもうやめて。本当に痛いよ。大体私よりもぜ非もそう助けなさいよ。でもレビーの方がピンチに見えたし。
[00:11:15] [音楽]
[00:11:30] 是非もしさえ復活すればあんな奴ら相手に
[00:11:34] もならないの。あんたはどうして頼んでも
[00:11:38] ないことをだってレビーに褒めてもらい
[00:11:42] たく
[00:11:43] てまたそう
[00:11:48] いううん。もういい。とにかくベヒモスに
[00:11:54] 取り戻さないと。放っておいたらあいつら
[00:11:57] に何されるかわかんないし。そのまま
[00:12:00] アークルに
[00:12:01] 持ち帰を調べようとするかも
[00:12:04] [音楽]
