# NIKKE 第32章 转录
视频ID: K1G6_6Qf6Io
URL: https://youtu.be/K1G6_6Qf6Io
语言: ja
来源: youtube-transcript-api+yt-dlp

[00:00:02] [音楽]
[00:00:21] [音楽]
[00:00:24] あその名前で
[00:00:33] [音楽]
[00:00:46] 協力する私たち
[00:00:49] [音楽]
[00:00:54] に信用できな人間は裏切る
[00:01:00] たちは猛者を奪い伝説を冒涜
[00:01:04] する信用できな滑舌はよくなりましたが
[00:01:09] 使ってる言葉はそのままですねまあコミ力
[00:01:13] までは取り替えられない
[00:01:15] [音楽]
[00:01:18] でしょ近づく
[00:01:22] [音楽]
[00:01:27] な猛者を奪い
[00:01:30] 伝説を冒涜したと言ったわねそうじゃない
[00:01:33] わ私は受け継いだのレッドフードを正確に
[00:01:40] は受け継がとしたで
[00:01:44] もできなかっ
[00:01:47] た理想だったの私にとってああなりたかっ
[00:01:52] た
[00:01:53] 理想でも私はレッドフードとは違った彼女
[00:01:59] の使命は
[00:02:00] 私のものにはできないと気づいてしまった
[00:02:03] のだから私は諦め
[00:02:07] た言っていたわね物語を書き直すことそれ
[00:02:12] があなたの使命と使命あなたは使命を諦め
[00:02:19] ていないの
[00:02:21] でしょう100年以上経っても諦めなかっ
[00:02:25] たの
[00:02:27] ね諦め
[00:02:30] なかった羨ましいわだから教え
[00:02:35] てあなたが何を知っていて何がしたいのか
[00:02:40] ヘレティックアナキーの復活ではなくて
[00:02:43] 何か別の使命を守っているなら手伝う
[00:02:48] わまだ信じられないレッド
[00:02:53] フード英雄
[00:02:55] を受け継いだとは限らない冒涜したのかも
[00:03:00] [音楽]
[00:03:08] それは
[00:03:09] え
[00:03:12] おんみんな元気かレッドフードがお化けに
[00:03:16] なって遊びに来ちゃったぜわこれ思った
[00:03:19] より恥ずかしい
[00:03:21] [音楽]
[00:03:23] なみなのことは全部聞いたクイーンを倒
[00:03:27] すって話まだやってんだて100年も
[00:03:32] ずっと何してんだよお前らお前ら以外に
[00:03:36] 倒せる奴がいないってかなわけない
[00:03:40] だろうだからそろそろ後の奴らに譲って
[00:03:45] ゆっくりしろよ私はもう後を託せた運力
[00:03:50] いいやつに会えたん
[00:03:52] だそれじゃ先に行ってるぞ
[00:03:56] [音楽]
[00:04:00] レッド
[00:04:02] [音楽]
[00:04:11] [音楽]
[00:04:17] フードそう
[00:04:19] かそうだったの
[00:04:22] かお前たちはレッドフード
[00:04:27] のは
[00:04:31] そう
[00:04:32] かあったの
[00:04:34] [音楽]
[00:04:37] かどうだった安心したわ私が知っている
[00:04:42] レッドフードと少しも変わらなかった
[00:04:45] から
[00:04:47] はあ
[00:04:50] [音楽]
[00:04:53] 羨ましい私もあの時の姿をとても美しかっ
[00:04:58] たあの姿をもう1度見
[00:05:03] たい私
[00:05:06] を私たちを助けてくれシンデレラ
[00:05:11] に会いたい
[00:05:15] [音楽]
[00:05:28] [音楽]
[00:05:35] もちろんです今回はばっちりですよよく
[00:05:39] 言うわう
[00:05:42] ウファこんな作戦変更して大丈夫かな現場
[00:05:48] での判断は指揮感に任せる問題があるとは
[00:05:52] 思わ
[00:05:53] んあまりりはしないけどねヘレティックか
[00:05:59] もしれない相手を起こすなんてそれ自体が
[00:06:02] リスクだものグレイブは新色から回復して
[00:06:06] るって言う
[00:06:07] けど実際のところは分からないしその通り
[00:06:12] だだがヘレティック
[00:06:17] モダニティから戻れるとは実証されている
[00:06:20] ならば絶対ありえないとも言いきれない
