# NIKKE 第29章 转录
视频ID: 4Us6rnpY4OE
URL: https://youtu.be/4Us6rnpY4OE
语言: ja
来源: youtube-transcript-api+yt-dlp

[00:00:04] [音楽]
[00:00:08] 現在の状況に対する中央政府の見解を代理
[00:00:12] でお伝えしますまず通称クリスタル地帯で
[00:00:16] 発見された巨大エレベーターは明らかに
[00:00:19] 人工物であることが確定この事実により
[00:00:23] 知性を持った何らかが当のエリアに存在
[00:00:26] するか影響力を持っていることも確定し
[00:00:30] 街の性隊はピルグリムもしくは
[00:00:33] ヘレティックと推定されヘレティックで
[00:00:37] ある可能性が高いという意見に傾いてい
[00:00:42] ます表だって兵力を送る自由にできるから
[00:00:47] でしょうかなるほど
[00:00:49] ピルグリムの方たちは一応意的と見なされ
[00:00:53] ているわけですねはいピルグリムと分類さ
[00:00:57] れるとで成したはご少数にとまり被害も
[00:01:02] 限定的なものですので現在の状況は探索
[00:01:07] よりも攻撃に重きを置くべきという初見
[00:01:10] ですですから知性隊をヘレティックとして
[00:01:13] 扱っておくというわけですねまもなく
[00:01:17] アークからの精鋭部隊が奪還地01に派遣
[00:01:21] される予定です精鋭部隊ということははい
[00:01:26] アブソルートとメディスですうんそれなら
[00:01:32] ねそのことですが少し問題があります現在
[00:01:38] 重要な任務を遂行中のためそちらが完了
[00:01:41] 次第の到着となるそうです今しばらく時間
[00:01:45] がかかると思われます何よそれエレリヴァ
[00:01:49] とハンマリングの救出作戦はいつ始め
[00:01:52] られるのまさかアブソルートとメティスが
[00:01:56] 来るまで待てとか言わないわよねマリング
[00:02:00] は腕にクリスタルが刺さっていました現在
[00:02:04] の状況も分かりませんしエレベーターの
[00:02:07] 向こうに何があるのかさえ分かっていない
[00:02:09] 状況よ事態は一刻を争うはず重要な任務な
[00:02:14] のでどうしても外せないとのことです
[00:02:18] じゃあどう
[00:02:22] する私たちだけじゃちょっと大変じゃない
[00:02:30] そうおっしゃると思っていたので私が事前
[00:02:33] に支援を要請しておきましたハンマー&
[00:02:37] ドリルパスファインダー
[00:02:39] エレクトリックショック各部隊の他の
[00:02:42] メンバーに連絡済みです
[00:02:45] え幸いと言っていいのでしょうかとにかく
[00:02:50] 3名とも手が開いていたようで問題なく
[00:02:53] 支援も受けられます妖精に開していただけ
[00:02:57] ました各者のCEOからも許可が降りてい
[00:03:01] ますさすがシフティすごいじゃない
[00:03:05] オペレーターの面目役所というものですね
[00:03:09] まもなく現地に到着するはずです到着次第
[00:03:13] 作戦を計画して行動を開して
[00:03:17] くださいいえ
[00:03:22] [音楽]
[00:03:27] いえこんにちは
[00:03:30] フラジャイルと言いますパスファインダー
[00:03:34] 部隊所属で
[00:03:37] そのリバリーとは友人
[00:03:40] ですトロ
[00:03:42] にエレクトリックショッ部隊所属で回路
[00:03:48] 設計はちょっと自信ある
[00:04:00] 私だけかも私の勘違いだったらどうしよう
[00:04:06] ああ
[00:04:09] おあの道探しは得意なのでそ
[00:04:14] そのらしくお願いし
[00:04:18] ますこういう席は慣れてないからチャット
[00:04:22] で会話していいだめだよね遺言場
[00:04:27] バージョン431
[00:04:30] コミュニケーション弱者のミケトロに会話
[00:04:34] ができなくて死亡助けに来てくれたのは
[00:04:38] いいけどなんて言うか
[00:04:41] ちょっと物静かな方たちです
[00:04:45] ねあとそっちでイライラしてるあなたは
[00:04:49] 自己紹介もお
[00:04:51] [音楽]
[00:04:53] 断りえっと
[00:04:56] あの私はここで待機してバックアップする
[00:05:00] から
[00:05:02] え私が乗ってるこれ思いっきり電子機器だ
[00:05:07] し現場に行ったらクリスタルの餌食になり
[00:05:11] そうそして移動手段を失った私は地面に
[00:05:16] 倒れるもしかしてそれがないと移動でき
[00:05:20] ないんですか普通に
[00:05:23] 歩けるそれならなぜお
[00:05:30] 分かっ
[00:05:31] た行く
[00:05:33] よゆ言城バージョン
[00:05:38] 432クリスタル地帯で足を取られた
[00:05:41] ニトロにクリスタルに侵食されて死亡あ
[00:05:46] その体力がないとか運動に慣れていないと
[00:05:51] かでし
[00:05:53] たらここに残った方がいいと思い
[00:05:57] ます足が
[00:06:01] その全滅の原因になるかもしれませんし
[00:06:07] おその通りねだからその自信がないなら
[00:06:12] ここにいる方
[00:06:15] が救出しに来た私たちに何かあっ
[00:06:21] たらすごくかこ悪いと思い
[00:06:26] ます自信なさそうなにタイプねそう絶対
[00:06:33] そう反論しよのない完璧な論理だから私は
[00:06:38] ここで広報支援する
[00:06:44] ね
[00:06:47] えっとそれは
[00:06:56] う何よ何もしないここに残りたいとか言い
[00:07:01] 出さないわよねそうじゃない
[00:07:04] けど
[00:07:08] うやっぱり行かなきゃだめか
[00:07:11] [音楽]
[00:07:19] なやっぱり式感はいい人だ
[00:07:25] ね官大丈夫でしょうか
[00:07:30] うー人手は少しでも多い方がいいと思う
[00:07:36] けどそうよね挨拶は終わったかハンマー
[00:07:43] アンドドリル部隊のドリリング
[00:07:59] かも分からないエレベーターの穴をろな
[00:08:02] 備えもなしに降りなきゃいけないんだろう
[00:08:05] 事前資料を見たらトンネルに近いが垂直
[00:08:08] じゃなくて傾斜があったこの装備があれば
[00:08:12] 滑って降りられるはずだリーター先輩が
[00:08:16] 神経注いで作ってくださったものだ感謝し
[00:08:20] ながら
[00:08:21] 使えよじゃさっさと
[00:08:26] 行こうそんなのやってる時間ねえって
[00:08:29] 早く行くぞ移動しながら話して
[00:08:36] くれああ心配だ心配でおかしくなっちまい
[00:08:41] そうだ早く行かねえとあのバカ危ないって
[00:08:47] あんだけ言ったの
[00:08:51] にはい問題ありませ
[00:08:54] ん
[00:08:57] おおあの
[00:09:00] [音楽]
[00:09:01] 出発する前
[00:09:04] にリミッター解除の許可をいただけると
[00:09:09] 助かり
[00:09:14] ます資料を読んだんです
[00:09:17] がクリスタルは2にも侵食するそうじゃ
[00:09:22] ないですか最悪武器で引き剥がす必要が出
[00:09:27] た時にミが機能しちゃったら良くないの
[00:09:37] [音楽]
[00:09:40] で効果
[00:09:43] 完了みんな異常はない当然問題なし毛先が
[00:09:50] ちょっとダメージを受けたよう
[00:09:52] です大丈夫
[00:09:56] だ肌がこすれてちょっと痛いですう服も
[00:10:02] 少し破れましたが体は無事
[00:10:06] です私も無事だよそりゃそうでしょ幸い
[00:10:12] ここから先は緩やかな傾斜が続きます分岐
[00:10:15] もありません道なりに前進してください
[00:10:19] それにしたって技術も工夫もあったもん
[00:10:22] じゃないわねエレベーターの穴が開いてる
[00:10:26] からその壁に張り付いて降りよう
[00:10:29] できるからって言ったってこんなに頭使わ
[00:10:32] ないのは初めてだわニケだからできること
[00:10:36] よですが師匠は人間ですよねだからラピに
[00:10:42] 抱きしめられてたん
[00:10:45] でしょ抱きついていたのは指揮官の方
[00:10:53] よ不明ですエリアスキャンで推定するには
[00:10:57] 判断材料が少なすぎます
[00:10:59] エリアスキャンってどういう原理えっと
[00:11:05] 指揮官のオペレーションデバイスから映像
[00:11:07] データを受け取って3Dマップ化しAIに
[00:11:11] よる補正を行っています地形や大型の建築
[00:11:15] 物は正確に処理できますが小型の
[00:11:18] オブジェクトはどうしても分析制度が落ち
[00:11:20] てしまいますね想定外の状況への対応も
[00:11:25] 困難
[00:11:26] ですその
[00:11:29] カメラていいのを使ってるよねはい
[00:11:34] エリシオンから納品されている最高性能の
[00:11:37] ものですそうなんだメモ
[00:11:41] メモ高そうだねそうですね指揮官より
[00:11:46] オペレーションデバイスの方が高いという
[00:11:49] 冗談もあるほどであ失礼しまし
[00:11:55] たそそういう意味ではなくて
[00:11:59] 早く行くぞ
[00:12:01] んもう進んでるでしょ無駄話をする暇が
[00:12:06] あるなら急ごう足も動かしてるでしょ黙っ
[00:12:10] て歩けばもっと早く行けるだろう1人で
[00:12:14] 先走りたいみたいねなんだって焦ってどう
[00:12:19] するのよ私たちだって急いでるでしょお前
[00:12:23] らだけで逃げ帰ってきたくせに随分
[00:12:26] のんびりしてるじゃないかああ何をその
[00:12:30] 言い方見捨てて逃げてきたとでも思ってる
[00:12:34] の違うのか随分な言い草ねじゃあ何の準備
[00:12:40] もなしに穴に飛び込めばよかったっていう
[00:12:43] の本当に仲だと思ってるならそうしたはず
[00:12:47] だじゃああなたはそうしたら私たちは確実
[00:12:52] に助けられる方法を探すから準備してる間
[00:12:55] に手遅れになっちまうかもしれないだろう
[00:13:00] だから急いで準備して救出に向かってるん
[00:13:03] でしょ対策もせずに飛び込んで何かあっ
[00:13:07] たら問題が余計に大きくなるじゃないだ
[00:13:11] からいい加減にしてくれる私たちだって
[00:13:15] 焦ってないわけじゃない
[00:13:18] の私なら追いかけて飛び降りてたはいはい
[00:13:23] 分かったわ今度そういう状況になったら
[00:13:27] 遠慮せずそうしてちょ
[00:13:30] アニス止めないでよ喧嘩売ってきたのは
[00:13:34] 向こうじゃない言いがかりにも限度って
[00:13:37] もんがあるわ言いがかりじゃない事実だろ
[00:13:41] あなたに何が分かるって言うのよどう考え
[00:13:45] たって変だろ新入3人だけが行方不明で
[00:13:49] お前たちは何ともないなんてええそうよ
[00:13:53] 私たちが2を騙して罠にはめる噂の殺人鬼
[00:13:58] これで満足
[00:14:00] [音楽]
[00:14:05] ドリなんで笑うああすみません名前が
[00:14:10] あまりにもハンマリングと話したことを
[00:14:13] 思い出したのでなんか文句あるのかよおん
[00:14:19] 失礼とにかく
[00:14:21] 私たちはハンマリングに助けられたのです
[00:14:25] 彼女は巨大なクリスタルが沈みめているに
[00:14:29] がついて私の持っていた大切な発信機を
[00:14:32] 投げるように言った後私たちにはその場を
[00:14:37] 離れるようにと言ってそれから落ちていき
[00:14:41] まし
[00:14:43] たその前の探索中だってとても頑張って
[00:14:47] くれていましたそこまでしてくれた方を
[00:14:51] 見捨てるわけにはいきませんこう見えても
[00:14:54] 私たち人情には熱いタイプなのでですから
[00:14:59] 今は疑うより一刻も早く確かめに行き
[00:15:05] ましょうところでそのドリルロケット
[00:15:09] ブースターなどはついてないんですか
[00:15:12] そんなものはない残念ですねあれば一飛び
[00:15:17] だったかもしれませんが何言ってん
[00:15:22] だねえどって悪かったわだからあなたも
[00:15:29] それくらいにし
[00:15:30] [音楽]
[00:15:31] て分かったこっちこそ悪かった
[00:15:42] ないえいえそれほどでもいつも刀剣のよう
[00:15:47] な誰かさんのそばにいると自然とこういう
[00:15:50] ことを覚えるものです誰の話誰とは言い
[00:15:55] ませんあの
[00:15:59] は終わりましたかああはいひとまずはあの
[00:16:06] 流れでここまでついてきちゃったんです
[00:16:09] けどリフリンが探索任務にいたっていうの
[00:16:13] は本当なんです
[00:16:18] [音楽]
[00:16:22] かリバンはその任務に本当に参加していた
[00:16:26] んですかって
[00:16:29] 聞きたかったん
[00:16:38] です何のためにですか
[00:16:42] え
[00:16:44] えっとお世辞を言うのはもううんざりもう
[00:16:48] 少しいい仕事がしたいって言ってたわよね
[00:16:52] ええそうでしたねそうなんですか
