# NIKKE 第31章 转录
视频ID: yPdi283EIk4
URL: https://youtu.be/yPdi283EIk4
语言: ja
来源: yt-dlp

[00:00:18] 官えラピが手を出したんですかあいつじゃ
[00:00:18] 官えラピが手を出したんですかあいつじゃ
[00:00:28] てグレイブの棺に収められていたのは
[00:00:28] てグレイブの棺に収められていたのは
[00:00:31] ヘレティックでしたヘレティックアナール
[00:00:31] ヘレティックでしたヘレティックアナール
[00:00:33] です
[00:00:33] です
[00:00:42] てグレイブはそれを宝だと表現していまし
[00:00:42] てグレイブはそれを宝だと表現していまし
[00:00:46] た今までの会話と行動から考えた限り
[00:00:46] た今までの会話と行動から考えた限り
[00:00:50] グレイブはヘレティックアナールの復活の
[00:00:50] グレイブはヘレティックアナールの復活の
[00:00:57] ます少々お待ちくださいデータを整理して
[00:00:57] ます少々お待ちくださいデータを整理して
[00:01:02] います情がない上に断片的なので詳細は
[00:01:02] います情がない上に断片的なので詳細は
[00:01:06] 不明ですが最初のヘレティックとして記録
[00:01:06] 不明ですが最初のヘレティックとして記録
[00:01:09] されています撃退したという記録が残って
[00:01:09] されています撃退したという記録が残って
[00:01:13] いますがそれ以外には情報がありません
[00:01:13] いますがそれ以外には情報がありません
[00:01:17] そのデータも100年も前のものですでは
[00:01:17] そのデータも100年も前のものですでは
[00:01:22] かなり危険なのではどうしてほら
[00:01:22] かなり危険なのではどうしてほら
[00:01:25] プロトタイプやゼロ式って大抵すごく強い
[00:01:25] プロトタイプやゼロ式って大抵すごく強い
[00:01:29] じゃないですかましてや1番最初の
[00:01:29] じゃないですかましてや1番最初の
[00:01:32] ヘレティックだななんてどれくらい強いか
[00:01:32] ヘレティックだななんてどれくらい強いか
[00:01:34] は想像もできません
[00:01:34] は想像もできません
[00:01:39] ね妙に説得力があるわねでもどうしてラピ
[00:01:39] ね妙に説得力があるわねでもどうしてラピ
[00:01:44] がキールのことを知ってたのそうですね
[00:01:44] がキールのことを知ってたのそうですね
[00:01:47] 知っていて探さないと出てくる情報では
[00:01:47] 知っていて探さないと出てくる情報では
[00:01:52] ありませんわかるのいえそう感じるという
[00:01:52] ありませんわかるのいえそう感じるという
[00:02:01] ねはい確かなことは分かり
[00:02:01] ねはい確かなことは分かり
[00:02:03] レッドフードはアナールを知っているよう
[00:02:03] レッドフードはアナールを知っているよう
[00:02:08] です強烈な体験の記憶が頭の中に流れ込ん
[00:02:08] です強烈な体験の記憶が頭の中に流れ込ん
[00:02:12] できましたそれから怒りも
[00:02:13] できましたそれから怒りも
[00:02:16] 宿敵みたいなものだったのかしらわから
[00:02:16] 宿敵みたいなものだったのかしらわから
[00:02:21] ないわ確かなことはアナールを目覚めさせ
[00:02:21] ないわ確かなことはアナールを目覚めさせ
[00:02:24] てはならないということ今の私たちでは手
[00:02:24] てはならないということ今の私たちでは手
[00:02:26] に負えないはずよ
[00:02:26] に負えないはずよ
[00:02:31] え私たちヘレティックの悪って呼ばれてる
[00:02:31] え私たちヘレティックの悪って呼ばれてる
[00:02:34] ぐらい強いらしいですよそんなんじゃな
[00:02:34] ぐらい強いらしいですよそんなんじゃな
[00:02:38] いって100年前のヘレティックよ何らか
[00:02:38] いって100年前のヘレティックよ何らか
[00:02:40] のロストテクノロジーを搭載していても
[00:02:40] のロストテクノロジーを搭載していても
[00:02:43] 不思議ではない
[00:02:43] 不思議ではない
[00:02:48] わグレイブの追跡とアナールの破壊それを
[00:02:48] わグレイブの追跡とアナールの破壊それを
[00:02:51] 今回の作戦の目標とすることを信言いたし
[00:02:51] 今回の作戦の目標とすることを信言いたし
[00:03:03] 了解しまし
[00:03:03] 了解しまし
[00:03:05] たお待ちしておりまし
[00:03:05] たお待ちしておりまし
[00:03:07] [音楽]
[00:03:07] [音楽]
[00:03:12] た予想より順調です滞りなく進行してい
[00:03:12] た予想より順調です滞りなく進行してい
[00:03:15] ますハーモニーキューブの制御が進行中
[00:03:15] ますハーモニーキューブの制御が進行中
[00:03:20] ですあとはAピラーさえ到着すれば始める
[00:03:20] ですあとはAピラーさえ到着すれば始める
[00:03:23] ことができますアブソルートのみんなは
[00:03:23] ことができますアブソルートのみんなは
[00:03:26] 付近に対空火器で武装したラプチャーが
[00:03:26] 付近に対空火器で武装したラプチャーが
[00:03:30] 発見されたため殲滅に向かいました3人
[00:03:30] 発見されたため殲滅に向かいました3人
[00:03:43] 官正直に自白します私実は作戦会議でいり
[00:03:43] 官正直に自白します私実は作戦会議でいり
[00:03:46] していましたマナやアブソルートの皆さん
[00:03:46] していましたマナやアブソルートの皆さん
[00:03:49] がここに来ている理由もえなんとかのこと
[00:03:49] がここに来ている理由もえなんとかのこと
[00:03:54] も何1つ分かりませんそれ誇らしげに言う
[00:03:54] も何1つ分かりませんそれ誇らしげに言う
[00:03:58] こともちろんです私はいつも自分を
[00:03:58] こともちろんです私はいつも自分を
[00:04:03] 誇らしくってますからまあいいわ
[00:04:03] 誇らしくってますからまあいいわ
[00:04:06] えっとクリスタルをハーモニーキューブで
[00:04:06] えっとクリスタルをハーモニーキューブで
[00:04:11] 制御してアブソルートがそれを壊すみたい
[00:04:11] 制御してアブソルートがそれを壊すみたい
[00:04:15] な話だったわよね全く違いますキーワード
[00:04:15] な話だったわよね全く違いますキーワード
[00:04:23] ないわかりました中央政府による
[00:04:23] ないわかりました中央政府による
[00:04:26] クリスタル正式にはe2クリスタルに
[00:04:26] クリスタル正式にはe2クリスタルに
[00:04:31] 対する詳細な調査の結果マテリアルHも
[00:04:31] 対する詳細な調査の結果マテリアルHも
