# NIKKE 第27章 转录
视频ID: AJgeaw4EyNI
URL: https://youtu.be/AJgeaw4EyNI
语言: ja
来源: youtube-transcript-api+yt-dlp

[00:00:03] [音楽]
[00:00:08] [音楽]
[00:00:12] 食料は全て倉庫へ運んでくださいバイ肉
[00:00:16] などは忘れずに冷蔵庫に入れてくださいね
[00:00:20] 弾薬は届いていますかあ来ましたね9割を
[00:00:25] 武庫に残りは宿所に運んでくださいネオ
[00:00:30] チョコバを盗み食いしないでくださいこ
[00:00:34] これは私が持ってきたものですが
[00:00:37] パッケージに軍王用と書いてありますよぐ
[00:00:42] 軍王味という新発売の味ですよどういう味
[00:00:47] なんですか
[00:00:49] え税金の
[00:00:52] 味あアニス箱の下から中身が出てますえう
[00:01:00] ねもうこれで何回目一体どうやって運んで
[00:01:06] きたのよ箱がボロボロじゃない地上での
[00:01:09] 物資輸送は簡単なことではありません配送
[00:01:13] 用ロボットはラプチャーの同線を避けて
[00:01:16] 輸送する必要があるので道のりがとても
[00:01:19] 険しくなりますですので物資が良好な状態
[00:01:24] で届くことの方が少ないですね途中で噴出
[00:01:28] することも多いですエレベーターができる
[00:01:31] まで辛いわねエレベーターの完成はいつ頃
[00:01:35] になるの
[00:01:37] えっとそうですねマイティツールズの皆
[00:01:41] さんがすでに工事を始めているそうですが
[00:01:45] 早ければ1ヶ月遅ければ3ヶ月程度が
[00:01:48] かかるとのことです1ヶ月でできそうね
[00:01:52] マイティツールズのことだからはい私も
[00:01:56] そう思いますアニスそのまま行こうしない
[00:02:00] でください落としたものの回収をこれ置い
[00:02:04] てから拾うってば途中で下ろすと面倒なの
[00:02:07] よネオンコンバットレーションもためです
[00:02:11] そのまま食べたらお腹の中で膨らんで大変
[00:02:14] なことになりますよなんと指揮官第3次の
[00:02:20] 補給物資まで確認しましたこれである程度
[00:02:24] 準備は整いまし
[00:02:28] たあとは探索支援が来るのを待つだけです
[00:02:32] 出発の報告からかなり時間が経っています
[00:02:36] 間もなく到着する
[00:02:41] でしょうはい探索に最適化されたメンバー
[00:02:45] だそうですそのうち1名はミシリ所属です
[00:02:49] が大丈夫でしょう
[00:02:53] か了解しましたそれにしてもラプリの産が
[00:02:59] 大きなものになりましたねおかげでどこ
[00:03:03] から始めるべきか分かりまし
[00:03:07] [音楽]
