# NIKKE 第35章 转录
视频ID: hXuGXN0BU6Q
URL: https://youtu.be/hXuGXN0BU6Q
语言: ja
来源: youtube-transcript-api+yt-dlp

[00:00:01] [音楽]
[00:00:12] 知っておくべき重要事項はありますか?
[00:00:15] ある。重要事項ばかりで何から話せばいいか悩ましい。ひとまずコアに残留していた美弱なエネルギー反応は確認できなくなった。
[00:00:28] 状況から考えてる。お前と完全に融合した
[00:00:32] と考えるべきだろう。それからお前の
[00:00:36] ボディはエリシオンの技術に基づいて製造
[00:00:40] されたものだがエリシオンではなくなった
[00:00:43] 。どういうことよそれ。矛盾してない。
[00:00:47] さすが社長。こんなでもユマーを忘れない
[00:00:51] とわ。大しく聞いてくれ。
[00:00:57] おはい。
[00:01:02] 運がお前に渡したクティカルアップ計画の
[00:01:03] OS
[00:01:03] は大部分が反映されている。高気動戦闘に特化したボディバランス。全般的な耐久性及び出力上昇は言うまでもないとしてモードレッドフードを拡張武装として切り替えられる機能がそのまま残っている。
[00:01:20] [音楽]
[00:01:21] 拡張武装って何?
[00:01:23] おお、ドロシーが使っていたものと同じでは?
[00:01:27] その通り。お前たちも知っているものだ。
[00:01:31] じゃあこの状態でもあれが使えるってこと?
[00:01:36] そうではないと思うわ。あの状態をコントロールできるようにするためのものだったはず。
[00:01:39] [音楽]
[00:01:42] その通りだ。あの状態を拡張武装として利用できるようにするための気候だったのだ。
[00:01:50] それ自体が使えなくなった。今となっては意味のないものだ。
[00:01:53] [音楽]
[00:01:57] なるほどね。
[00:01:58] 話を戻そう。設計図の上ではエリシオンが用意していたクティカルオブタクティカルテクノロジーの集体性そのものだがボディを構成している物質が判明していない。ボディの素材が分からないということだ。
[00:02:14] [音楽]
[00:02:18] 設計図通りの形にはなっている。だが、何
[00:02:22] でできているのかが分からない。少なく
[00:02:25] とも今のアークで扱えるものではない
[00:02:27] だろう。とはいえ不思議でもない。
[00:02:32] そもそも姿が変わったということ自体が非
[00:02:35] 現実的な話だ。信じがい出来事が起こるに
[00:02:39] は信じがい仕組みが必要になる。この物質
[00:02:43] の正体を突き止めることが当面の課題だ。
[00:02:47] 式か
[00:02:48] [音楽]
[00:02:53] 。はい。液体金属だと言われていたダーク
[00:02:57] マターは柔軟に動くものでした。そして
[00:03:00] エピラーはアークの基礎構造物を生み出す
[00:03:04] ものでした。いずれにしても未知の物質と
[00:03:07] して思い当たるイメージがあります。
[00:03:10] ボディに違和感はないか?ありません。今
[00:03:14] まで通りだと思うほどです。
[00:03:16] 異物のように感じないか?
[00:03:18] いえ、
[00:03:20] 本当か?
[00:03:23] 共官、私の体が何でできていようと?私は私です。
[00:03:26] [音楽]
[00:03:29] おお。
[00:03:31] おお。
[00:03:33] そうか。いい答えだ。最後にお前の武装についてたがセブンスドワーフゼロと言ったか。馬鹿げているな。
[00:03:42] [音楽]
[00:03:45] はい。
[00:03:46] 高起動戦闘を行うため、銃に推進装置を
[00:03:49] 搭載し、通常弾と流弾を同時に運用できる
[00:03:54] 。さらに決戦手段として電磁場により
[00:03:58] ドリル上のエネルギーを発生させる。誰が
[00:04:02] 作ったのか想像もつかないな。思いついた
[00:04:06] ものを何でも詰め込んだような子供兵器だ
[00:04:09] 。
[00:04:10] タクティカルに見て言えばめちゃくちゃという言葉でも足りん
[00:04:15] 共感。
[00:04:25] [音楽]
[00:04:29] しかし初めから特別な誰かのために作られていたものだとするならこの上ないほどの完成度だ。その人物でなければ扱えずその人物だけが
[00:04:30] 100%
[00:04:31] の性能を引き出せる言葉通りの専用武装だ。
[00:04:38] はい。
[00:04:40] 理想的だと考えた動きを思い通りに実現することができました。
[00:04:45] ならば何も言わん。これはデータベースへの登録を行わないでおく。無認可の並走ということになるが、特殊別動体の肩書きがあれば問題にはならないだろう。こんなものを模法しようとするものが現れないだけが心配で。
[00:04:53] [音楽]
[00:05:04] ありがとうございます。
[00:05:06] 私からの話は以上だ。
[00:05:07] [音楽]
[00:05:10] 問題と
[00:05:16] はうん。ここに来る時には直通の
[00:05:20] エレベーターを使ったのだ
[00:05:23] 。次はどこへ行く予定だ
[00:05:28] ?いいだろう。私も同行する。車を出そう
[00:05:33] 。自分の目で確かめるといい。
[00:05:36] 今のアークがラピをどう見るかをな。
[00:05:39] [音楽]
[00:05:53] おはあ。私車に乗るなんて初めてです。
[00:05:57] そうだったの?私は何回か乗ったことあるから慣れてるけど。
[00:06:02] え、話ですか?
[00:06:05] まあ、昔の話。
[00:06:08] ネオン、もしかして靴を履いたまま乗っていない?
[00:06:12] はい。
[00:06:14] ちょっと何してんのよ。靴は脱きだめでしょ。
[00:06:19] ああ、す、すぐに脱ぎ。お、みんな吐いてるじゃないですか。靴。
[00:06:30] お、こういうことで笑うのですね。
[00:06:34] 昔のことを思い出したな。もうすぐ大通りだ。よく見ておけ。これは
[00:06:41] [音楽]
[00:06:50] なんと私テレビデビューしてしまいました。
[00:06:54] おお。
[00:06:56] 書かれていることも見ておけ。
[00:06:58] 特殊別動体通称カウンターズ。地上の一部奪還に成功し、地上探索で有意義な成果を上げている。これは人類史初の快であり、明日ともに最高の式館と舞台と呼ぶにふさわしい宣伝されているのですね。
[00:07:17] [音楽]
[00:07:20] アンダーソンとマスタングが動いた。中央政府を解き伏せたらしい。
[00:07:26] 人気を集める人物の出現は警戒されている
[00:07:29] 。これも1日に5回。人通りの少ない時間
[00:07:33] にひっそりと流されるだけだ。とはいえ、
[00:07:38] それでも指揮官の鉱石が大けに認められた
[00:07:41] のはかの神聖以来のことだ
